"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,7,"bigcalm","03:03:520",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,8,"bigpod","03:07:148",5,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,1,"rpodcast","03:03:995",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,2,"Wimpy","03:05:223",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,3,"crendo","03:05:918",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,4,"bigpod","03:05:994",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,5,"bigcalm","03:06:048",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,6,"FrenchguyCH","03:06:060",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,7,"TwoD","03:09:227",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","xing","sentinel","sea_view","normal","hotshot",2021-02-28,8,"madhens","03:20:165",5,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-sea_view-normal/2021_gp1-2021-02-28-hotshot-sea_view-normal.png"
"2021_gp1","mike","athena","ski_paradise","mirrored","hotshot",2021-02-28,1,"rpodcast","02:29:192",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored.png"
"2021_gp1","mike","athena","ski_paradise","mirrored","hotshot",2021-02-28,2,"FrenchguyCH","02:29:200",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored.png"
"2021_gp1","mike","athena","ski_paradise","mirrored","hotshot",2021-02-28,3,"bigpod","02:30:618",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored.png"
"2021_gp1","mike","athena","ski_paradise","mirrored","hotshot",2021-02-28,4,"bigcalm","02:30:652",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored.png"
"2021_gp1","mike","athena","ski_paradise","mirrored","hotshot",2021-02-28,5,"Wimpy","02:30:886",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored/2021_gp1-2021-02-28-hotshot-ski_paradise-mirrored.png"
